评论ID,客户类型,住宿时长,问题分类,评论长度,评论内容
2,普通客户,未知,"服务问题, 餐饮问题",183,酒店的硬件是不错的，毕竟才开没得两年。因为新，也是最近到乐山的首选。只是服务越来越差，也不能叫差，就是跟不上，因为人员太少。这么大个酒店，我第一次在酒店餐厅，早餐的高峰期看到，就一个服务员在服务。收桌，摆台，回答客人问题。员工再优秀，有分身术麻，也搞不赢麻。体验感非常的差。。生意难做，控制成本，是没的问题的。但是，这样搞，合理的人员配置都没有安排够，怕是难搞哦。。
3,家庭客户,未知,"服务问题, 房间设施, 餐饮问题",172,房间很好，环境很好，服务也不错，除了一开始到门外没注意看大堂在哪里（标识不太清楚~）各方面都超预期。中餐厅有个服务员服务意识不太行，但是中餐厅的餐品出品很不错！酒店里亲子活动区域建议明亮度高一些，太暗了对小朋友参加活动时候眼睛不好。餐厅好几位服务都超棒，吧台的小帅哥服务超级好，调酒也非常棒！下次再去乐山的话，首选还会是这里~就冲着酒都会再去~
4,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",132,"酒店设计感和低奢风格保持一贯水准，公区和房间细节爽心悦目。前台的妹妹们都友好专业，清洁没有死角，酒店楼下停车和迷你吧水果都比较加分。大门过于低调刚开始有点难找。

乐山小吃铺天盖地导致审美疲劳，没有在酒店餐厅吃饭有点遗憾。周边比较…开发区，走路600米有万达餐饮圈"
6,家庭客户,未知,其他,123,每次来乐山我和家人最喜欢住的酒店就是安珀啦！这次来有了新的调整，增加了一些亲子活动和手工，Spa和疗愈。之前的大堂改造了一下夜间变成了孩子们观看电影的区域，大人正好在后面酒吧喝酒，度假感有了！感谢一直帮我们协调和处理问题的小鑫和小帅，下次再见哦！
8,商务客户,未知,"服务问题, 房间设施, 餐饮问题",327,"先说好的吧。设施：很不错，迷你吧:很丰富，欢迎水果:很不错，环境：很好，应该是乐山排的上号的酒店了。
再说其他的服务：还需要提升，办理入住前主动帮拿行李这个是酒店最基本的服务意识，还希望加强培训。早餐种类略少，进去的时候只有一个人，工作人员反复告诉你我们要收餐了，反复到让人很不适，蛋烘糕的台子没有人，如果确实是摆设的话完全可以撤掉，然后我看了时间，不到10点半的时间陆续来工作人员了，来是做什么呢，..."
13,普通客户,未知,"服务问题, 房间设施, 价格争议, 管理问题",381,对贵阳安珀一直都很满意，专注于管家式服务，于是来到乐山首选安珀酒店，结果服务令我大失所望！而且让我体验到最低级的错误！爬完峨眉山回来在房间内睡午觉，睡到一半客房阿姨刷房卡进来把我和先生惊醒了，她说送什么东西 我说不要她还站在房间门口不走，我叫阿姨赶紧出去才关上门！这么打造高级的酒店连最基本的安全感都给不了客人。其实就当时被打开门那下感觉被触犯到觉得很生气后面就平静下来了，入住期间我出门时给前台不同...
14,朋友聚会,未知,"房间设施, 位置交通",160,非常顶的酒店，很惊喜在乐山居然有这种等级的酒店。虽然稍微里老城区远了一些，但周边商业其实也很成熟，有万达广场，去老城区也就20分钟车程，适合开车自驾的朋友，停车场也非常干净大气。酒店硬件非常新，装修风格是法式味道，床品和卫浴用品都非常好。唯一遗憾是这么新的酒店电视不能投屏有点落后了。不过瑕不掩瑜，下次来乐山还会再来住。
20,商务客户,未知,房间设施,113,百年安珀的法式浪漫体现在酒店的每一处细节上，房间布陈尽显法式情怀和中国古典美的碰撞交融，唯一不足是窗外的城景无法与酒店自身相映成辉。服务很有温度，在乐山这样的非一线城市，工作人员能主动问好，实属难得，不错的入住体验，可以一试。
26,商务客户,未知,"服务问题, 房间设施, 价格争议, 管理问题",1259,"一定要避雷这个酒店的spa 被坑的很惨
跟朋友来乐山玩 入住了安珀酒店  酒店入住赠送了500元spa代金券 今天下雨被雨淋到下午又无事 就预定了13楼的spa （打电话预定的时候明确提到有线上和线下的服务项目 到时候可以选一下）到店的了 工作人员介绍了项目 选择了定价1698的全身中式疏通经络spa 一直强调 线上线下有一些不一样（这个是重点！） 我也想着 打折后1198的spa在乐山 是怎么样..."
30,普通客户,未知,"房间设施, 清洁卫生",101,入住时发现房间门锁坏了，管家及时帮更换了房间，稍微尴尬一下。酒店设施比较新，有一定品质。喜欢那些四川特色的挂画，趣味盎然。缺点是卫生间马桶噪音较大，光线刺眼，空间偏小。床不太舒服，空调对着床吹，遭不住。
34,普通客户,未知,房间设施,117,"硬件有投入！大门和前台的设计都是有质感的很高级。房间装修风格简单大气，床品布草质量高很舒服！
服务很用心！管家小帅帮我们解决了所有问题，还提供了很贴心的服务，一次性浴缸罩，水果 甜点 夜宵 水都准备的很到位！
比肩甚至超越五星级的标准"
35,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生, 预订问题",158,酒店管家提前电话沟通，还给我们免费升级了房间，入住体验感提升，房间设施很新，干净卫生，戴斯吹风机，咖啡机，智能马桶该有的都有。酒店地下车库停车方便，入住期间每天赠送迷你吧和水果，晚安迷你小点心。早餐环境安静，服务很好，早餐主打精致，品类有限，口味不错，电视机略小且无法投屏，有点遗憾，退房后前台赠送了一份零食小礼物。
39,普通客户,未知,"房间设施, 餐饮问题",175,这是这次旅行最满意的一家酒店。设施非常高档和新，风格也很独特和简约。服务人员每个方面都没得说，非常友好和主动。房间条件很好，干净整洁，床是我睡过的最舒服的。智能马桶和戴森吹风机等等也提高了入住体验。隔音也非常好。早餐选择多，质量很高，也没有过分追求花样。住了五六天，每天都很满意。下次还会来这里住。唯一的遗憾是健身房略小，没有游泳池这些。但瑕不掩瑜。
41,普通客户,未知,"服务问题, 房间设施, 预订问题",116,房间设施什么的都ok，对的上这个价位，就是当晚办入住酒店前台人员服务态度差，预订前酒店主动和我沟通协商的房型说的预留，到店后以满房为由，未提供任何解决方案，同时旁边有位住客办理入住房型已满给的升房的方案，不晓得是啥子原因差异这么大。
44,普通客户,未知,"房间设施, 餐饮问题",131,酒店设计很独特，房间地面都是大理石的，很有格调，看得出来老板在设计上是下了功夫的。这次没有预定早餐，下次有机会来品尝早餐，听说很不错，有乐山特色小吃。特别表扬一下前台小娟和小方，从预定拜访到办理入住以及住店期间帮忙解决各种问题，都彰显了服务的专业以及热情的态度。
45,朋友聚会,未知,"房间设施, 位置交通, 清洁卫生",191,"优点：干净卫生，法式装修，说实话超出了我对乐山地区酒店的预期，对特殊要求也很关注，服务态度好，喜欢，肯定会再来住的，也会推荐朋友来乐山玩就住这家
缺点：1.离市区较远，不过打车方便便宜20分钟20块左右
2.外卖没有小机器人送货，只能自取
3.空调稍微有点吵
4.还有就是WiFi密码藏的太深了，建议入住的时候跟客户提示一下，我自己问了，退房时也听到有客人打电话到前台询问
展开更多"
46,商务客户,未知,预订问题,181,"这次以纪念日选择入住，没想到惊喜从预订那一刻就开始了！提前告知行程后，酒店不仅贴心布置了客房，还准备了精致的红丝绒小蛋糕，浪漫氛围直接拉满。
办理入住时，前台小杨细心又热情，全程微笑服务，让人倍感温暖。退房时还收到了一份精美的伴手礼，这份心意实在难得。
安珀酒店工作人员的用心，让我们的纪念日充满了仪式感。这样注重细节的服务，一定会让我们再次选择这里。
展开更多"
47,普通客户,未知,"房间设施, 价格争议, 位置交通",76,据说是乐山目前最贵的酒店位置没有华邑哪么热闹但边上也有万达广场小众设计师酒店服务各方面还蛮好的房间也很大餐饮口味都做的不错属于少而精管家服务也挺到位的。
49,普通客户,1晚,"房间设施, 清洁卫生",151,"非常 非常棒的酒店，在上海能买2089一晚。
房间干净，minibar脱脂奶给好评，还有漱口水，但是牙膏有点难挤
公区非常厉害，有一个影厅晚上在放柯南，看得很开心，不同时段有各种活动
健身房边上的卫生间门口还有一个黑胶唱片机和一面黑胶墙
服务非常周到，check in有送饮料，小帅小郭非常好，有求必应"
50,商务客户,2晚,"房间设施, 餐饮问题, 预订问题",132,"两晚的入住整体感受非常好！
管家小方姑娘全程服务热情周到，无处不在的体贴服务。接送站的祝师傅和袁师傅驾驶技术好、服务好、前台小姐姐礼貌接待速度快。入住的第二个房晚预订了含早房间，没让我们失望，早餐味道不错，餐厅的工作人员也都热情细致。
这是一次让人满意的入住体验！"
53,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",249,"酒店整体很不错，房间很有设计感，洗漱台和浴缸在房间一左一右，去房间感觉有个客厅一样，卧室在在里面，有分区，特别亮点是，浴缸的水很大，放水非常快，洗漱用品品质不错，意大利进口的，有点小奢的感觉。卧室床头背景墙用的浅绿，对面墙上有屏风对称呼应，采用宋式风格，现代与传统的结合。地板用大理石地砖，加仿木地板，有点别致。
酒店很注重细节，连公共卫生间都用心，放有一次性漱口水，门口放有美式书架，还有唱片播放，..."
58,普通客户,未知,"房间设施, 餐饮问题",48,酒店很大气，服务也很好，房间宽敞整洁，设施全。美中不足的是早餐厅比较小，光线较暗。总体比较满意。
61,普通客户,未知,餐饮问题,84,第二次入住乐山安珀酒店了，每次来乐山玩的首选酒店。服务还是一如既往的好，特别感谢管家小方和小帅，入住期间有任何问题，都回复得超级及时。早餐还是超级丰富，入住体验非常好👍
62,普通客户,未知,"房间设施, 餐饮问题, 管理问题, 清洁卫生",268,"整个酒店服务都不错，设施设备也很新，房间卫生做的很干净，提供的一次性东西，下午茶都不错！这些是加分项然后
说几点小意见第一电视不能投屏，这是一个现代化酒店该有的配置第二送的整个的水果没有配水果刀，当然出于安全的考虑，但是那就应该配不用切的水果，这个小细节，可能很多人没有注意到第三早餐的水果橘子太酸了，叶儿耙不好吃，这个你们外面买的，而且作为乐山特色，是不是应该选个更好吃的，烧麦也是外面买的，你们有..."
70,普通客户,未知,"餐饮问题, 位置交通",100,前台小娟小方服务热情，有需要联系前台很快就送来了，不错。酒店设计整体不错，看得出老板花了心思的。缺点就是没有洗衣房，没有外卖机器人，有点不方便。时间原因没有去体验酒店早餐，据说不错，下次有机会去体验。
71,普通客户,未知,"房间设施, 价格争议, 清洁卫生",132,"卫生：卫生确实做的很不错
环境：环境看得出来很用心 连去酒店的接站路线也是老板精心挑选
服务：服务美中不足 忘了晚上的甜品 第二天联系管家后也立马补上并送了小礼物
设施：这个只能说及格吧 毕竟在乐山他的价格摆着。
总的来说 来乐山这起码不踩雷不照骗。太多照骗小酒店"
77,商务客户,未知,"房间设施, 餐饮问题, 位置交通, 清洁卫生",59,房间卫生干净，装修简洁，位置离市中区较远，适合商务入住，不太适合旅行入住，前台服务好，早餐样式较少，酒店周围环境一般。
81,普通客户,未知,清洁卫生,81,环境卫生各方面都很不错，也会有小点心和水果，还会准备一些饮品，都很不错；唯一的小缺点就是没有机器人上门，晚间碰上只有一位值班就只能自己下去拿，希望以后可以改进一下
90,朋友聚会,未知,"服务问题, 房间设施, 价格争议",325,"二月份去的了，当时是为了过情人节。结果化妆灯带是坏的，房间有点闷，尤其是晚上泡澡的话，由于水温的缘故房间会闷一些。定房是买的套餐送了红酒和浴球之类的，送的也不期待有多好，但是红酒确实喝不下去只尝了两口。
最生气的，我和女朋友正在床上看电视，服务员直接就进来，把我俩吓了一跳。说是敲门里面没有答应就进来了，简直无语死了。我们完全没有听见有人敲门，这个价位的酒店不知道在搞什么。当时才六点半来送晚安前的银..."
93,普通客户,未知,位置交通,66,精品酒店，在乐山有这样的酒店很惊喜了。位置略差，适合租车出行的游客。退房时送了小零食和白兰花，正好挂在租的车里很香。 遗憾没有泳池。
99,家庭客户,未知,"房间设施, 餐饮问题, 位置交通, 预订问题",391,"这次带家人来乐山游玩，选择了乐山安珀酒店从入住到离店的每一刻都充满惊喜！  
📍位置优越：
酒店位于乐山新城区，坐车到张公桥美食街只需19分钟，打车去 乐山大佛景区也只要18分钟，周边购物、吃饭超级方便！  
🏨房间体验：
落地窗傍晚能看到夕阳下的乐山城景。房间设计融合了现代与中式美学，床品舒适度高，迷你吧的饮品小食也很丰富。浴室配了 智能马桶和 高端洗护用品，细节满分！  
💁服务贴心：
前台小..."
100,普通客户,未知,"房间设施, 餐饮问题, 价格争议, 清洁卫生",393,"设施：不错，浴室的花洒🚿水量很小不如翰文酒店的淋浴感觉，花洒一看就有问题。
卫生：还可以，打扫房间的美少女把抹布遗落在房间呢，这个没啥，房间的浴巾发黑，让更换了，第二次拿的还可以。
环境：环境还可以
服务：办理入住时服务态度不错，但是离店的时候前台美少女毫无笑容，我想倒杯热水，她说对面自助餐厅，你去那里接吧。服务态度确实堪忧。管家的服务还不错，但是最后问我们要好评也是绝了，好评是有感而发，并不是你..."
105,普通客户,未知,"房间设施, 清洁卫生",122,"周边配套尚在完善中，但酒店内部的设计、房间物品、服务都让人眼前一亮。
大堂和前台满满的设计感，整体色调偏暗但又不失温暖，艺术氛围拉满。
房间内处处见细节，洗漱到个人卫生护理用品都是高配，给到了不少小惊喜。
对景点距离要求不高的强烈推荐此处😁😁😁"
108,商务客户,未知,"房间设施, 价格争议",189,在乐山市区来说，是顶级的存在。从入住开始就有管家送到房间，随时需要微信呼叫即可，外卖是工作人员直接送到房间。min bar六种饮品免费，企鹅每天可以全部补充一次，开夜床服务就不说了，每晚送甜水且很好喝。以前来乐山住过高新瀚文、嘉州锦江、华邑，和这些对比不管是装修、硬件、服务各方面，明显拉开了差距。在乐山是一个小众、精致的存在，我觉得独一无二，且价格对于安珀这个品牌来说比较低。
112,普通客户,未知,房间设施,69,设施：住了那么多大大小小的酒店，第一次遇见只有新风系统没有空调的酒店，没有热风也没有冷风，30度的天气入住房间热死，冬冷夏热……体验感太差
113,普通客户,未知,"房间设施, 位置交通",62,"环境：远离景区，整体比较安静，但是离网红美食有点远
设施：比较新，可以选择
服务：略显生硬，有一些问题不能解决，但是整体还行"
122,普通客户,未知,"服务问题, 房间设施, 餐饮问题, 位置交通, 预订问题",353,从订房开始有管家对接确定入住时间，安排专车接站服务，接站的小姐姐很早就在高铁站门口等着，非常热情，入住期间管家小帅尽职尽责有问必答，有什么小问题也第一时间进行协商和处理，客房服务员也很好，打扫得很干净，有夜床和睡前甜点minibar有好几种饮品，还有胶囊咖啡和茶，每天都有新鲜的水果。早餐很精致，食材用料新鲜不是预制的，吃得慢有位类似经理的男士专门来询问是否不合胃口可以重做，下午茶甜点师很棒，出品漂...
123,普通客户,未知,"位置交通, 预订问题",73,"乐山不错的一间酒店，法式风，比较新，距离高铁站不远，服务也很棒！前台小方和管家小郭，升房和细致服务。
不足就是离市区稍微有点远，对面是个在建医院。"
126,普通客户,未知,房间设施,90,"乐山之行的一大惊喜～酒店很有设计感，处处都透着小心思小细节，美得很特别！公区、房间、备品、管家都可圈可点，值得再次选择。
But 大堂不好找、淋浴间偶尔会有滴水声，还是需要改进的。"
128,普通客户,未知,"房间设施, 餐饮问题, 价格争议",144,"很一般.淡季999的价格.这个房间我还是很失望的.房间设施设备很普通4星酒店差不多..早餐一般.
迷你吧:就可乐.雪碧.椰汁水
欢迎水果:2个梨 其中还坏一个.2个圣女果.2颗杨梅.2个枇杷也是坏的..
早餐品种也少.反正就很一般 不值这个价.下次不会选择这个酒店了…
而且酒店大堂也小."
130,单人客户,未知,"房间设施, 位置交通, 管理问题, 清洁卫生, 预订问题",665,酒店位置比较偏好处就是安静，硬件设施是及格的，比较新卫生那些也还行！但是就服务而言，完全无法称之为一个合格的品牌酒店，更别说什么高级奢华酒店！提前好几天预定的房间并且专门发送入住需求给酒店，酒店还及时回复确认了，提前一天酒店还打电话来再次确认到店时间和特殊需求，当时还觉得挺靠谱！结果到店才是道啥叫离谱，首先酒店连个落客区都没有，得路边上下车走进去，一个小门厅进去有个牌牌写着去L层办入住，黑漆马虎的...
133,普通客户,未知,房间设施,118,酒店设计感爆棚，服务更暖心！超满意这次入住！酒店设计前卫时尚，设施新且智能，体验一流。前台小帅和小娟的服务必须给满分！热情、高效、专业！入住/退房丝滑流畅，主动介绍设计特色和酒店服务，笑容灿烂，有求必应，让整个旅程都舒心不少。强烈推荐！
137,家庭客户,未知,"房间设施, 管理问题, 清洁卫生",75,离高铁站近，出行方便，周边吃食选择多，应该是乐山最好的酒店之一。适合习惯商务出差、高要求的个人，带娃家庭，安全、贴心，房间大、卫生整洁，服务有小巧思。
141,普通客户,未知,其他,68,难得来乐山旅游，选对酒店很重要，这家酒店没有让我失望，前台小赵和小颖态度很好，有问必答，酒店设计很有品味，住宿体验感满分，下次还会再来!
143,普通客户,未知,位置交通,33,除了离景区稍微远些，其他几乎没有缺点。前台的小郭和小赵也很nice
145,普通客户,未知,"房间设施, 位置交通, 清洁卫生",342,"卫生：整个酒店都弥漫着一股淡淡的清香，有点像花香，闻起来很舒服，同时房间打扫的也非常干净
设施：整个酒店从装修到备品都很有高级感，让人觉得这才是高档酒店应有的样子。
环境：地处新市中心（出租车司机这样讲的），去几个旅游景点（如乐山大佛、苏稽古镇）都不算很远。所有客房基本上都在高楼层，夜里休息非常安静。
服务：服务没得说，欢迎水果什么的都不必多提，每一间客房都有小管家服务，可以给你提供旅游攻略，可以..."
146,普通客户,未知,房间设施,137,谢谢小帅！谢谢小娟！在乐山安珀入住很愉快！房间干净整洁简约舒适的同时，服务非常值得称赞！遇到小问题反应非常迅速，我们打算去峨眉山转一天，小娟也非常了解游客中心和大巴相关信息。退房后发现忘了耳机在房间里，小帅也耐心地帮我找到，并帮我寄出。细致周到，妥妥当当，宾至如归，点赞！！
148,普通客户,未知,"房间设施, 餐饮问题, 价格争议",100,酒店装修蛮新~服务也很热情~早餐很好吃~性价比挺高的~同样标准的酒店估计去其他城市价格至少要贵一半~就是房间的空调太难懂了~明明晚上挺凉快但是每天早上都是被热醒~另外建议矿水换个包装吧~不是很好饮用~
160,普通客户,未知,其他,37,服务周到，特别是小杨和小帅，因睡眠不好，大晚上还亲自送眼罩上来，有家的感觉
164,商务客户,未知,房间设施,169,这家酒店给我留下了非常深刻的印象，酒店的服务非常棒，一进门就感受到宾至如归的温馨，房间很宽敞干净，服务态度也很好，非常喜欢这家酒店的氛围，安静、雅致，让人可以放松身心。司机小祝和前台小颖细致周到的服务让人印象深刻，小黄经理的介绍十分全面。还有就是这家酒店让我惊喜不断！房间装修精美，设施先进，而且服务态度极佳。非常适合商务出差和旅游观光。
178,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",155,应该是乐山最好的酒店了。本来住在另外一家景区里的酒店，也是携程五钻但卫生实在堪忧，所以就换到这家酒店。酒店的设计装潢很有风格，服务态度特别好，还有专门管家，有什么问题可以给管家直接发微信，外卖也能帮你拿上来，真的是太周到了。房间里喝茶很惬意，晚上还送了小蛋糕，很好吃。酒店早餐也不错，推荐！下次来乐山还住这里！
182,普通客户,未知,"服务问题, 房间设施, 餐饮问题",108,确实是乐山酒店天花板，标准的五星级！很精致，尤其是早餐，品种不算特别多但是很精致，牛肉面，蛋烘糕，都很好吃！房间有胶囊咖啡机，城景房虽然风景不行，但房间大！服务意识强态度好！伴手礼暖心，唯一的缺点是晚上洗澡水不够热。
189,商务客户,未知,"房间设施, 餐饮问题, 管理问题, 清洁卫生",475,法式浪漫与乐逸山水的完美结合，除了周边配套不够齐全，酒店正门不够明显，其他可以称得上是乐山酒店界的天花板。工作人员会提前和客人联系，前台提前办理了入住，并陪同到房间细致讲解设施使用方法，退房的时候前台妹妹小黄、小雨还送了酒店伴手礼🎁进入房间让人眼前一亮，桌子上手写的卡片诚意满满，落地窗的设计使房间宽敞明亮，即便在阴雨的天气，室内也不会太过昏暗；设施布局合理，府邸管家小帅、小袁服务热情且贴心，入住的...
190,家庭客户,未知,"房间设施, 餐饮问题, 预订问题",197,差点忘记来赞👍。终于在乐山找到了有颜又nice的酒店～～～酒店很新，法式风格，从进门开始到前台到房间到早餐餐厅，一股子精致感～～服务人员也很nice，从入住前就有管家小代、小帅提前沟通联系，详细询问，前台的小颖很不仅一路送我们到房间，还给我们推荐了当地美食，退房时还给每个孩子赠送了可爱的伴手礼，地下停车场也有充电桩可以满足电车出行，总之是很愉快的一次入住！下次到乐山逛吃的时候，还会选择安珀👍
204,商务客户,未知,房间设施,87,配置一般，服务一般，房间内啥也没有也要收你1000多的押金！去前台办理入住的时候，三个工作人员围着一个电脑等你排队慢慢等！旁边那个电脑就是不愿意有人去给办理！以后不会再去了！
212,朋友聚会,未知,"房间设施, 餐饮问题",117,这次入住体验非常棒！前台的小鑫服务特别热情，办理入住时微笑亲切，耐心解答我们的问题，还给推荐了周边好吃的餐厅。房间干净整洁，床品舒适，住了一夜好眠。大堂设计也很漂亮，灯光温馨，整体氛围让人感觉很放松。会推荐给朋友，下次来一定还住这里！
224,普通客户,未知,"餐饮问题, 位置交通",264,这次去乐山旅游，花了很多时间选了这间酒店，总体来讲是没有达到预期的。硬件整体来说不错，服务这块相较丽晶、洲际这些还是存在比较大差距。简单讲几个点吧：1. 晚上睡觉时每隔一段时间有电流声，因为有宝宝告知管家已经休息了麻烦管家排查下，后面宝宝睡觉后来敲门 2.离店后管家讲有个衣架没有找到，实际上晚上用了只是挂在浴室门口，应该不算多隐蔽的位置吧 3.迎宾水果如果不是很新鲜的话建议取消，反而拉低评价； 也...
226,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",164,"设施：硬件一流，酒店造价1个亿以上，单房造价60万。

卫生：2023年新开的，卫生表现非凡。

环境：酒店坐落在住宅小区附近，景观差了点，但是好在店内环境很不错。

服务：一对一的管家服务，感觉服务人员比客人多，外卖给你送到房间。进出和退房都接送陪伴。

茉西餐厅双人午市套餐或下午茶（2选1）:酒店的西餐出品一流。
展开更多"
228,普通客户,未知,"房间设施, 餐饮问题, 价格争议, 位置交通, 管理问题",155,"安珀的设计、酒店设施、服务质量都远超期待！
酒店位置虽然不在最中心地段，周围目前还处于开发建设阶段，但是进入酒店内部根本不需要为外界这些纷扰担忧；酒店细节处的鲜花花艺也彰显品味。
早餐种类繁多，品质优良；随赠的午餐也是精致美味；健身房虽小，但也设备齐全，干净整洁。

真的是性价比很高的一次住宿体验！
展开更多"
237,普通客户,未知,"房间设施, 餐饮问题, 清洁卫生",192,私密性强，人少安静，服务比同类型同价位酒店例如英迪格贴心许多，早餐的美式口感不错，原本对附送的午餐没报什么期待结果也还可以，分量不多更像brunch，早一点吃完留点肚子下午再去城里炫小吃就很合适。房间内部中规中矩，胜在有咖啡机，操作简单快捷成功安利了懒人立刻购入了一个把家里需要清洗的老机子淘汰。美中不足是周围施工工地有点多，以及卫生间洗漱台没有专门的化妆镜。下次想来乐山吃东西会来。
243,普通客户,未知,"房间设施, 餐饮问题",135,这家酒店的服务非常周到，设施服务都达到了国际连锁的要求，在乐山这样一个充满了各种网红坑人民俗的城市里很难得。特别要感谢服务管家小代小帅和前台小赵，他们非常热情友好，帮我们解决了很多问题，还送了一个可爱的玩偶小羊。酒店的早餐非常丰富并且都是乐山本地小吃，给酒店打五星好评！
250,普通客户,未知,房间设施,51,这酒店的品质一直很高，不管的酒店装修还是服务一直都很好，这次也没有让我失望，就是这次住的房间稍微小了点
253,商务客户,未知,"服务问题, 房间设施, 餐饮问题, 预订问题",381,第一次入住乐山安珀酒店，总体的感受还是不错的，硬件方面房间内的设施都挺新，胶囊咖啡机很给力，卫浴设施也很满意，整个房间的感觉设计都很舒服。然后来说一下服务，前台工作人员很热情，提前一天就有管家联系确认到店入住时间和对房间的要求，到店后前台的小赵和小娟两位热情地为我们服务，很是周到。最后再来讲一下餐饮：这个部分是对安珀这次比较失望的地方。首先，可能是因为入住率不高，早餐可选的种类并不丰富，而且某些食...
260,商务客户,未知,"房间设施, 餐饮问题",323,"乐山安珀酒店提供了一次难忘的入住体验，将现代舒适与传统热情完美结合。酒店周围环境宁静，是放松身心的理想选择。房间宽敞明亮，装饰高雅，设施先进，确保了每位客人的舒适和便利。早餐简而精，包含当地特色小吃，晚上开夜床会送上小点心和水果，迷你吧也是免费的。
值得一提的是酒店的管家服务，管家团队表现出了非凡的专业素养和对客人需求的深刻理解。从高铁免费接站，美食游乐推荐到天气提醒，他们的服务既细致又周到。管家..."
270,普通客户,未知,其他,25,特别提醒：这里的西餐西餐差到极致，牛排完全啃不动！
274,家庭客户,未知,"房间设施, 清洁卫生",164,"酒店适合商务出差下榻还不错，私密度高。不太适合亲子旅游下榻，因为也没啥亲子可互动的场所(光线也不太明亮，不适合小朋友)。

新酒店，房间硬件很好。干净卫生，床品赞，睡得舒服。洗浴硬件包括花洒都赞。但是还是有点新装修的气味。

酒店服务人员还是比较专业，热情。

周围大环境没啥亮点，纯游玩来看，地理大环境其实比较鸡肋。
展开更多"
283,普通客户,未知,房间设施,132,管家小郭入住前提前联系为我们安排好接送站，入住时小娟早早准备好了房间，房间还为我们做了一个升级真的很贴心，始终保持微笑，入住之后小赵也是有什么问题随时联系，负责接送站的小党也是非常有耐心，很好；这次安珀旅行入住的很舒心很开心，非常感谢你们，下次来乐山继续选择安珀。
290,普通客户,未知,"餐饮问题, 位置交通",134,虽然入住的时候酒店大门正在改造，办理入住有些不方便，但是这点小小瑕疵完全被前台小赵和管家小郭的热情服务消灭。入住当天下午大门改造完毕，管家也是在第一时间联系告知，避免绕路，很贴心。这是一次很愉快的入住体验，早餐很不错，晚安甜品也很美味，下次来乐山还会选择安珀，点赞👍🏻
297,普通客户,未知,餐饮问题,64,法国有名的酒店品牌。酒店很有设计特色，服务很有水准，酒店和餐厅在硬体上没有可以挑剔的地方。乐山可以住到这样的酒店，很难得的体验。
304,家庭客户,未知,房间设施,440,"春节期间，一家老小因乐山大佛而来，不吐不快:
1.酒店的硬件设施确实做得不错，设计应该花了很多心思
2.办入住，前台小姐姐很热情，一家人也很开心住到一个温馨的酒店
3.夜里九点半左右给孩子洗澡，一直是半凉的水，给前台电话，告知洗的人太多热水用完了，需要等半小时，于是赶紧把小孩擦干抱床上等热水来
4.等了半小时还是凉水，于是又等了半小时
5.过了一个小时后还是凉水，给前台电话，说工程队还需要十分钟左..."
